time,open,high,low,close,tick_volume,spread,real_volume
2025-11-03 16:05:00,4016.54,4018.3,4012.71,4013.53,1510,18,0
2025-11-03 16:10:00,4013.57,4016.83,4012.9,4016.26,1068,18,0
2025-11-03 16:15:00,4016.2,4018.18,4014.46,4015.68,1306,18,0
2025-11-03 16:20:00,4015.69,4020.46,4015.33,4016.3,1229,18,0
2025-11-03 16:25:00,4016.28,4017.7,4009.43,4010.3,999,18,0
2025-11-03 16:30:00,4010.27,4011.8,4001.63,4008.82,1924,18,0
2025-11-03 16:35:00,4008.79,4013.51,4006.84,4010.01,1801,18,0
2025-11-03 16:40:00,4009.98,4013.15,4009.14,4012.39,1613,18,0
2025-11-03 16:45:00,4012.4,4024.57,4012.4,4020.41,1757,18,0
2025-11-03 16:50:00,4020.31,4026.02,4020.21,4024.45,1741,18,0
2025-11-03 16:55:00,4024.46,4026.08,4022.1,4022.65,1286,18,0
2025-11-03 17:00:00,4022.6,4029.52,4022.6,4026.67,1527,20,0
2025-11-03 17:05:00,4026.64,4027.72,4023.11,4026.07,1483,18,0
2025-11-03 17:10:00,4025.83,4030.6,4023.95,4026.69,2312,18,0
2025-11-03 17:15:00,4026.58,4028.88,4024.83,4027.63,1624,18,0
2025-11-03 17:20:00,4027.69,4028.11,4017.67,4017.76,1626,18,0
2025-11-03 17:25:00,4017.71,4019.62,4008.53,4011.49,1977,18,0
2025-11-03 17:30:00,4011.48,4015.09,4009.49,4012.96,1907,18,0
2025-11-03 17:35:00,4012.98,4018.7,4005.52,4017.37,1941,18,0
2025-11-03 17:40:00,4017.4,4022.53,4015.38,4021.29,1456,18,0
2025-11-03 17:45:00,4021.38,4023.72,4017.66,4019.22,1673,18,0
2025-11-03 17:50:00,4019.21,4019.62,4009.81,4010.06,1413,18,0
2025-11-03 17:55:00,4010.01,4012.95,4003.51,4008.57,1573,18,0
2025-11-03 18:00:00,4008.56,4013.46,4007.21,4011.82,1346,18,0
2025-11-03 18:05:00,4011.81,4012.84,4003.41,4007.28,1331,18,0
2025-11-03 18:10:00,4007.16,4008.09,4001.9,4004.71,1477,18,0
2025-11-03 18:15:00,4004.7,4005.31,3995.36,3999.78,1624,18,0
2025-11-03 18:20:00,3999.83,4004.86,3997.66,3998.21,1516,18,0
2025-11-03 18:25:00,3998.14,4001.46,3996.82,3998.02,1258,18,0
2025-11-03 18:30:00,3998.0,3999.87,3995.83,3996.53,1447,18,0
2025-11-03 18:35:00,3996.52,4004.01,3996.49,4002.39,1354,18,0
2025-11-03 18:40:00,4002.37,4004.42,4002.32,4003.62,1029,18,0
2025-11-03 18:45:00,4003.56,4008.99,4001.85,4008.52,1192,18,0
2025-11-03 18:50:00,4008.46,4009.35,4006.8,4008.95,1033,18,0
2025-11-03 18:55:00,4008.96,4009.72,4006.27,4008.24,1135,18,0
2025-11-03 19:00:00,4007.95,4009.98,4006.35,4006.43,986,18,0
2025-11-03 19:05:00,4006.41,4008.24,4003.7,4004.61,1074,18,0
2025-11-03 19:10:00,4004.6,4009.63,4003.44,4008.24,1029,18,0
2025-11-03 19:15:00,4008.28,4009.39,4006.7,4009.28,951,18,0
2025-11-03 19:20:00,4009.33,4012.15,4009.07,4010.07,1290,18,0
2025-11-03 19:25:00,4010.06,4010.59,4006.6,4006.93,1096,18,0
2025-11-03 19:30:00,4006.89,4007.42,4004.87,4006.14,773,18,0
2025-11-03 19:35:00,4006.13,4007.33,4005.36,4005.69,634,18,0
2025-11-03 19:40:00,4005.49,4006.71,4004.32,4005.76,716,18,0
2025-11-03 19:45:00,4005.66,4007.64,4005.09,4006.47,831,18,0
